pressure_pa,alt_raw_m,alt_med,alt_smooth,alt_sg,alt_clean,time_s,vel_raw_mps,vel_clean_mps
101327.401,0.0,0.0,0.0,0.0023792408512258102,0.0023792408512258102,0,0.0,-0.0023792408512258124
101327.401,0.0,0.0,0.0,-2.168404344971009e-18,-2.168404344971009e-18,1,0.04996476246935751,-0.004758481702451622
101326.2005,0.09992952493871501,0.0,0.0,-0.007137722553677435,-0.007137722553677435,2,-0.1498900599226659,-0.009516963404903246
101331.0025,-0.2997801198453318,0.0,-0.019985623150296804,-0.019033926809806496,-0.019033926809806496,3,-0.04996476246935751,-0.014513382612933237
101327.401,0.0,0.0,-0.03997124630059361,-0.03616448777954391,-0.03616448777954391,4,0.0999260020469239,-0.020937326201015037
101328.6015,-0.09992811575148401,-0.09992811575148401,-0.059956869450890404,-0.06090857921183657,-0.06090857921183657,5,0.0,-0.02521989934117047
101327.401,0.0,-0.09992811575148401,-0.07994249260118722,-0.08660428646188485,-0.08660428646188485,6,0.0,-0.026171508448698193
101328.6015,-0.09992811575148401,-0.09992811575148401,-0.11991345707220935,-0.11325159610923295,-0.11325159610923295,7,-0.09992741117755533,-0.02521975171582872
101329.802,-0.19985482235511065,-0.09992811575148401,-0.13989879839293468,-0.1370437898935423,-0.1370437898935423,8,-0.04996335330181332,-0.025695485812691897
101329.802,-0.19985482235511065,-0.19985482235511065,-0.15988413971366,-0.16464256773461675,-0.16464256773461675,9,0.04996335330181332,-0.02521953028011291
101328.6015,-0.09992811575148401,-0.19985482235511065,-0.17986948103438533,-0.1874828504537681,-0.1874828504537681,10,-0.04996264874511058,-0.021412765049491495
101331.0025,-0.2997801198453318,-0.19985482235511065,-0.2198398818531549,-0.20746809783359974,-0.20746809783359974,11,-0.0999260020469239,-0.016178522409757312
101331.0025,-0.2997801198453318,-0.19985482235511065,-0.2198398818531549,-0.21983989527328274,-0.21983989527328274,12,0.04996264874511058,-0.009040913929625943
101329.802,-0.19985482235511065,-0.2997801198453318,-0.2198398818531549,-0.22554992569285162,-0.22554992569285162,13,0.0999260020469239,0.0014275109599241331
101328.6015,-0.09992811575148401,-0.19985482235511065,-0.2198398818531549,-0.21698487335343447,-0.21698487335343447,14,-0.04996264874511058,0.006661699919475753
101331.0025,-0.2997801198453318,-0.19985482235511065,-0.2198398818531549,-0.21222652585390012,-0.21222652585390012,15,-0.04996335330181332,0.002379173749767177
101329.802,-0.19985482235511065,-0.19985482235511065,-0.19985482235511065,-0.21222652585390012,-0.21222652585390012,16,0.0999260020469239,-0.0038066779996274724
101328.6015,-0.09992811575148401,-0.19985482235511065,-0.2198398818531549,-0.21983988185315506,-0.21983988185315506,17,0.0,-0.011895868748835858
101329.802,-0.19985482235511065,-0.19985482235511065,-0.2398249413511991,-0.23601826335157183,-0.23601826335157183,18,-0.0999260020469239,-0.0209367289979511
101331.0025,-0.2997801198453318,-0.2997801198453318,-0.2598100008492433,-0.26171333984905726,-0.26171333984905726,19,-0.04996264874511058,-0.02236423324781142
101331.0025,-0.2997801198453318,-0.2997801198453318,-0.27979506034728757,-0.2807467298471947,-0.2807467298471947,20,0.0,-0.01808173391835821
101331.0025,-0.2997801198453318,-0.2997801198453318,-0.2997801198453318,-0.2978768076857737,-0.2978768076857737,21,0.0,-0.0899807052892101
101331.0025,-0.2997801198453318,-0.2997801198453318,-0.2997801198453318,-0.46070814042561486,-0.46070814042561486,22,0.0,-0.5080451781492434
101331.0025,-0.2997801198453318,-0.2997801198453318,-0.2997801198453318,-1.3139671639842605,-1.3139671639842605,23,0.0,-0.7929652899044531
101331.0025,-0.2997801198453318,-0.2997801198453318,-0.25980971902656225,-2.046638720234521,-2.046638720234521,24,0.0999260020469239,2.1013434449822816
101328.6015,-0.09992811575148401,-0.2997801198453318,1.4399271677267684,2.888719725980303,2.888719725980303,25,-0.04996194420809469,8.965540167394852
101332.203,-0.3997040082615212,-0.09992811575148401,13.058670917929826,15.884441614555183,15.884441614555183,26,4.149416214836402,18.98664213580222
101228.96,8.198904313921322,8.198904313921322,43.438930006485876,40.86200399758474,40.86200399758474,27,29.09682131971574,32.352525913478225
100635.913,57.79393863116996,57.79393863116996,78.1132765107665,80.58949344151164,80.58949344151164,28,71.70130550450679,46.50294020119637
99525.4505,151.60151532293492,151.60151532293492,130.63526309001827,133.86788439997747,133.86788439997747,29,57.63900688519388,56.46823808474229
99273.3455,173.07195240155772,173.07195240155772,194.8736504397942,193.5259696109962,193.5259696109962,30,55.45424472878625,61.48294447463718
98231.3115,262.5100047805074,262.5100047805074,259.8879208101829,256.8337733492518,256.8337733492518,31,78.15944433062162,60.63498558952766
97460.5905,329.390841062801,329.390841062801,312.5030207740569,314.79594079005153,314.79594079005153,32,60.17764285130306,52.68239225379597
96849.536,382.86529048311354,382.86529048311354,364.0901632451738,362.19855785684376,362.19855785684376,33,42.643087039751975,41.44744737942969
96488.1855,414.6770151423049,414.6770151423049,398.9579793020729,397.6908355489109,397.6908355489109,34,24.07118713701439,29.278531547945335
96303.3085,431.0076647571423,431.0076647571423,420.44962810251326,420.75562095273443,420.75562095273443,35,13.477481532979994,16.199627496866185
96183.2585,441.6319782082649,436.84908506500284,431.24638701889114,430.0900905426433,430.0900905426433,36,6.375535099323514,4.8031895205125466
96159.2485,443.75873495578935,436.84908506500284,429.9547192159944,430.3619999937595,430.3619999937595,37,-2.391446571631036,-2.7645421725934227
96237.281,436.84908506500284,436.84908506500284,422.8170802356757,424.56100619745644,424.56100619745644,38,-24.219632550120167,-8.651625783199904
96707.877,395.319469855549,408.21867612782114,413.2018718853407,413.0587484273597,413.0587484273597,39,-14.31520446859085,-13.409164341613263
96561.416,408.21867612782114,395.319469855549,399.75018976491754,397.7426775142299,397.7426775142299,40,-3.2732132711105066,-17.000436870002005
96782.308,388.773043313328,388.773043313328,377.48422612878096,379.0578746873557,379.0578746873557,41,-19.314000832467258,-20.279665030076842
97000.799,369.5906744628866,369.5906744628866,356.70353411147005,357.1833474540762,357.1833474540762,42,-31.626888214503964,-23.058025033396632
97505.009,325.5192668843201,325.5192668843201,334.2120466248898,332.94182462056244,332.94182462056244,43,-32.63772921081008,-24.253183630032055
97748.7105,304.31521604126647,304.31521604126647,308.75207639233474,308.6769801940121,308.6769801940121,44,-21.328617230836187,-24.365963080313065
97996.0135,282.8620324226477,282.8620324226477,282.67756673389766,284.2098984599363,284.2098984599363,45,-21.421011945356838,-23.826462294398908
98243.3165,261.4731921505528,261.4731921505528,260.7123357117261,261.0240556052143,261.0240556052143,46,-21.821953125973096,-22.652878913503216
98501.424,239.2181261707015,239.2181261707015,238.83239401842243,238.90414063292988,238.90414063292988,47,-22.890040188545285,-22.798426574083052
98775.138,215.69311177346222,215.69311177346222,216.42391290499364,215.4272024570482,215.4272024570482,48,-22.151309297976766,-25.155722539569084
99017.639,194.91550757474798,194.91550757474798,189.8224107143569,188.5926955537917,188.5926955537917,49,-22.436742458979325,-28.14889233410618
99299.7565,170.81962685550357,170.81962685550357,158.82653804892294,159.12941778883584,159.12941778883584,50,-33.22491318868934,-30.369235876594743
99797.964,128.4656811973693,128.4656811973693,128.0932274738873,127.85422380060223,127.85422380060223,51,-43.29043200598598,-29.981578974200907
100321.382,84.23876284353162,84.23876284353162,99.5825835739259,99.16625984043402,99.16625984043402,52,-33.21956114954263,-24.96349446007393
100585.492,62.026558898284044,62.026558898284044,73.95826165314477,77.92723488045436,77.92723488045436,53,-20.770372795966836,-18.78142148057855
100815.988,42.698017251597946,52.36228807494099,60.331406767088644,61.60341687927692,61.60341687927692,54,-19.803540420022646,-13.866214521776385
101058.489,22.419478058238752,42.698017251597946,52.362288074940984,50.194805836901594,50.194805836901594,55,-20.278539193359194,-11.408611042375327
